bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,The Age of Atlantis,2021,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",1,4,,,,,14,,90,90,rrvd68LjOR,,,,,,,,,1,5.0,,,,,tsQtgivHWo,,,,,
,Happy Days,1976,,,,"id,name,url,num_games,score,game,images",2,4,,,,,7,,30,30,Sod2YBWMKi,,,,,,,,,2,2.5,,,,,tz1Gvg34aK,,,,,
,Pyramid Arcade: Sandships,2016,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,8,,15,30,v4SfYtS2Lr,,,,,,,,,,,,,,,u4LhbQhdnq,,,,,
,World of Warcraft: The Board Game - Burning Crusade Expansion,2007,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,6,,,,,12,,360,360,v4SfYtS2Lr,,,,,,,,,7,4.142857142857143,,,,,u9ujMnSVWT,,,,,
,Star Wars Imperial Assault: Jabba's Realm,2017,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,5,,,,,13,,90,240,"v4SfYtS2Lr,Sod2YBWMKi",,,,,,,,,6,4.333333333333334,,,,,uAQyiQMqxI,,,,,
,Everdell: Folded Space Insert,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,uBzi57kYGU,,,,,
,Strato Chess,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,uCIFnk7XdB,,,,,
,BattleLore (Second Edition): Warband of Scorn Army Pack,,,,,"id,name,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,4,3.75,,,,,uCXr6onNys,,,,,
,Game of Phones: Expansion 002 - Materialism Pack,2018,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",3,99,,,,,12,,15,15,"eX8uuNlQkQ,v4SfYtS2Lr,TYnxiuiI3X",,,,,,,,,,,,,,,uCdHQ6WFF1,,,,,
,Star Wars: Box Busters - Battle of Hoth & Battle of Naboo,2015,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,2,,,,,7,,,,,"R0bGq4cAl4,BGrhzIN69D",,,,,,,,,,,,,,uHPbPMvIE6,,,,,
,Manoeuvre: Distant Lands,2017,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,2,,,,,10,,60,75,,"R0bGq4cAl4,qu5BcGjAzk,WPytek5P8l,U3zhCQH7Et,XM2FYZmBHH",,,,,,,,,,,,,,uHxERtMfx0,,,,,
,Warhammer Quest: Blackstone Fortress - Advanced Arsenal,2019,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",1,5,,,,,12,,120,180,v4SfYtS2Lr,,,,,,,,,,,,,,,uPqIuixEER,,,,,
,Five Crowns: Junior,2013,,"id,num_games,score,game,url,images",,,2,6,,,,,5,,30,30,eX8uuNlQkQ,"WPytek5P8l,9YdRn9J9oZ",,,,,,,,1,3.0,,,,,uaQjKR8m0e,,,,,
,Warfighter: WWII Expansion 18 - Australia 1,2019,,,,"name,id,url,num_games,score,game,images",1,6,,,,,,,30,90,"eX8uuNlQkQ,v4SfYtS2Lr,jX8asGGR6o,fl3TogdUzX",,,,,,,,,,,,,,,udHtxNegz3,,,,,
,Mokuru Card Game,,,"id,num_games,score,game,url,images",,,2,6,,,,,,,20,30,"eX8uuNlQkQ,rrvd68LjOR",,,,,,,,,,,,,,,uge7tv5nYT,,,,,
,Clue: The Simpsons,2002,,,,"id,num_games,score,game,url,images",3,6,,,,,8,,30,45,"bCBXJy9qDw,7rV11PKqME,Sod2YBWMKi",,,,,,,,,,,,,,,uxtmDnSJRp,,,,,
,Firefly: The Game - Ship Dice,2015,,,,"name,id,url,num_games,score,game,images",1,4,,,,,13,,120,180,,,,,,,,,,,,,,,,v5PQ27E8AW,,,,,
,Memoir ‘44: Through Jungle and Desert,2018,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,8,,,,,8,,30,90,v4SfYtS2Lr,,,,,,,,,,,,,,,v6aYSBybA6,,,,,
,Stratego Legends: Kralc's Horde,1999,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,6,,,,,8,,60,60,,,,,,,,,,,,,,,,v6snGBF5zt,,,,,
,Champion Hill,1996,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",1,2,,,,,12,,240,240,,,,,,,,,,,,,,,,v7bsy646aX,,,,,
,Scattergories,1988,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,6,,,,,12,,30,30,"X8J7RM6dxX,PzWI2uaif0,rHvAx4hH2f","R0bGq4cAl4,UHdPUeuqyZ",,,,,,,,117,2.9358974358974366,,,,,v7qbL1m0NH,,,,,
,Pitchstorm: Superhero,2019,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",3,12,,,,,14,,15,60,v4SfYtS2Lr,,,,,,,,,,,,,,,vDFL1WpWHV,,,,,
,Wells: Fountain of Youth (fan expansion to Carcassonne),2014,,,,,2,5,,,,,8,,30,45,,,,,,,,,,,,,,,,vHefKquxjh,,,,,
,Aeon's End: The Void Expansion,2017,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",1,4,,,,,14,,60,75,v4SfYtS2Lr,,,,,,,,,12,4.083333333333333,,,,,vJ9vhNLb2L,,,,,
,Android: Netrunner - All that Remains Data Pack,2014,,,,"id,name,url,num_games,score,game,images",2,2,,,,,14,,30,30,,,,,,,,,,2,4.0,,,,,vNDMz2vst4,,,,,
,Dragon Dice of Little Dragon Corp,,,,,,,,,,,,,,,,"mavSOM8vjH,rrvd68LjOR",,,,,,,,,,,,,,,vNLdCheQM4,,,,,
,Heroes of Normandie: German Reinforcements Expansion,,,,,,2,2,,,,,14,,60,60,v4SfYtS2Lr,,,,,,,,,,,,,,,vVpDir0wcp,,,,,
,A Game of Thrones: The Card Game - The Battle of Blackwater Bay,2009,,,,"name,id,url,num_games,score,game,images",2,4,,,,,14,,60,60,"eX8uuNlQkQ,v4SfYtS2Lr",,,,,,,,,,,,,,,vd9vAUXazm,,,,,
,Arkham Horror: The Card Game - In The Clutches of Chaos,2019,,,,"name,id,url,num_games,score,game,images",1,2,,,,,14,,60,120,v4SfYtS2Lr,,,,,,,,,,,,,,,vfKuCjCO5S,,,,,
,Wings of Glory: WW2 Starter Set,2012,,,,"name,id,url,num_games,score,game,images",2,4,,,,,14,,30,60,,,,,,,,,,,,,,,,vgSRyiEGV5,,,,,
,Adventure Realm RPG Tiles: Cave and Cavern set,,,,,,,,,,,,,,,,"rrvd68LjOR,2Gu62aKdma",,,,,,,,,,,,,,,vhnt9BH9DU,,,,,
,Arkham Horror: Premium Monster Figure - Wraith,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,viKVeycTR8,,,,,
,Marvel Dice Masters: Uncanny X-Men Starter Set,2014,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,2,,,,,14,,60,60,,R0bGq4cAl4,,,,,,,,46,3.2608695652173916,,,,,vij5GPyAeX,,,,,
,Adventure Time Card Wars: Card Sleeves - Finn,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vpXgBIGTsv,,,,,
,Dragon Ball Super: Playmat - Broly,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,vsaU1zVT39,,,,,
,The Cat Game,2017,,,,"id,name,url,num_games,score,game,images",3,10,,,,,16,,30,60,"MWoxgHrOJD,k0dglq5j6N,TYnxiuiI3X,X8J7RM6dxX,PzWI2uaif0","KfTS5BwIsu,DEvPj5twid,9jnCsVuRat",,,,,,,,5,2.0,,,,,vsvGTwJa3Q,,,,,
,White Puppy Bits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vtFnYA2PCo,,,,,
,Domination,2005,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,8,,30,30,,,,,,,,,,2,2.0,,,,,vveWbEi5rs,,,,,
,Apples to Apples Trendy Snack Pack,2013,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",3,4,,,,,12,,30,30,"eX8uuNlQkQ,TYnxiuiI3X",,,,,,,,,1,3.0,,,,,vvsgxjWApx,,,,,
,Legend of the Five Rings: The Card Game - Winter Court 2018 World Championship Deck,2019,,,,"id,num_games,score,game,url,images",2,2,,,,,14,,45,90,"eX8uuNlQkQ,v4SfYtS2Lr",,,,,,,,,,,,,,,w09V09uPkM,,,,,
,Cypher System: Dice Set,,,,,,,,,,,,,,,,mavSOM8vjH,,,,,,,,,,,,,,,wBUYchcqWO,,,,,
,Nippon: Keiretsu Mini Expansion (What's Your Game?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wDAs8HFVgL,,,,,
,A Game of Thrones: The Card Game (Second Edition) - All Men are Fools,2017,,,,"name,id,url,num_games,score,game,images",2,4,,,,,14,,60,60,"eX8uuNlQkQ,v4SfYtS2Lr",,,,,,,,,1,3.0,,,,,wDtVuLcwJd,,,,,
,Food Chain Magnate: Upgrade Kit (200 pcs),,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,,,,,,,wE68BztJ8y,,,,,
,Parasite Game,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,wFLIwFis4N,,,,,
